id;description;frequency;features;grid;iterations;params
168;"";"semana";"tmax, tmin, precip, nevada, prof_nieve, longitud, latitud, altitud";"50,50";10000;""
169;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"5,5";1000;""
170;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"5,5";10000;""
171;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"10,10";1000;""
172;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"10,10";10000;""
173;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"25,25";1000;""
174;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"25,25";10000;""
175;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"50,50";1000;""
176;"";"semana";"tmax, tmin, precip, longitud, latitud, altitud";"50,50";10000;""
177;"";"semana";"tmax, tmin, longitud, latitud, altitud";"5,5";1000;""
178;"";"semana";"tmax, tmin, longitud, latitud, altitud";"5,5";10000;""
179;"";"semana";"tmax, tmin, longitud, latitud, altitud";"10,10";1000;""
180;"";"semana";"tmax, tmin, longitud, latitud, altitud";"10,10";10000;""
181;"";"semana";"tmax, tmin, longitud, latitud, altitud";"25,25";1000;""
182;"";"semana";"tmax, tmin, longitud, latitud, altitud";"25,25";10000;""
183;"";"semana";"tmax, tmin, longitud, latitud, altitud";"50,50";1000;""
184;"";"semana";"tmax, tmin, longitud, latitud, altitud";"50,50";10000;""
185;"";"semana";"precip, longitud, latitud, altitud";"5,5";1000;""
186;"";"semana";"precip, longitud, latitud, altitud";"5,5";10000;""
187;"";"semana";"precip, longitud, latitud, altitud";"10,10";1000;""
188;"";"semana";"precip, longitud, latitud, altitud";"10,10";10000;""
189;"";"semana";"precip, longitud, latitud, altitud";"25,25";1000;""
190;"";"semana";"precip, longitud, latitud, altitud";"25,25";10000;""
191;"";"semana";"precip, longitud, latitud, altitud";"50,50";1000;""
192;"";"semana";"precip, longitud, latitud, altitud";"50,50";10000;""
193;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"5,5";1000;""
194;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"5,5";10000;""
195;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"10,10";1000;""
196;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"10,10";10000;""
197;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"25,25";1000;""
198;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"25,25";10000;""
199;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"50,50";1000;""
200;"";"semana";"fecha_cnt, tmax, tmin, precip, nevada, prof_nieve";"50,50";10000;""
201;"";"semana";"fecha_cnt, tmax, tmin, precip";"5,5";1000;""
202;"";"semana";"fecha_cnt, tmax, tmin, precip";"5,5";10000;""
203;"";"semana";"fecha_cnt, tmax, tmin, precip";"10,10";1000;""
204;"";"semana";"fecha_cnt, tmax, tmin, precip";"10,10";10000;""
205;"";"semana";"fecha_cnt, tmax, tmin, precip";"25,25";1000;""
206;"";"semana";"fecha_cnt, tmax, tmin, precip";"25,25";10000;""
207;"";"semana";"fecha_cnt, tmax, tmin, precip";"50,50";1000;""
208;"";"semana";"fecha_cnt, tmax, tmin, precip";"50,50";10000;""
209;"";"semana";"fecha_cnt, tmax, tmin";"5,5";1000;""
210;"";"semana";"fecha_cnt, tmax, tmin";"5,5";10000;""
211;"";"semana";"fecha_cnt, tmax, tmin";"10,10";1000;""
212;"";"semana";"fecha_cnt, tmax, tmin";"10,10";10000;""
213;"";"semana";"fecha_cnt, tmax, tmin";"25,25";1000;""
214;"";"semana";"fecha_cnt, tmax, tmin";"25,25";10000;""
215;"";"semana";"fecha_cnt, tmax, tmin";"50,50";1000;""
